ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0513,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 2:10-18,Experto,"Según Eclesiástico 2:10, ¿a quiénes invita el texto a observar al hablar de la confianza en Dios?",A los reyes de las naciones,A las generaciones antiguas,A los comerciantes de Jerusalén,A los soldados de Israel,B,A las generaciones antiguas,El texto invita a fijarse en las generaciones antiguas y pregunta si quien confió en Dios quedó defraudado.,Revisar,No,No
QB0514,AT,Isaías,Isaías 1:1,Basico,¿Cómo identifica Isaías 1:1 al profeta que recibe la visión sobre Judá y Jerusalén?,"Isaías, hijo de Amoz","Jeremías, hijo de Hilcías","Ezequiel, hijo de Buzi","Oseas, hijo de Beerí",A,"Isaías, hijo de Amoz","La introducción identifica al profeta como Isaías, hijo de Amoz, y sitúa su ministerio durante varios reinados de Judá.",Revisar,No,No
QB0515,AT,Isaías,Isaías 2:4,Basico,¿Qué transformación de las armas anuncia Isaías 2:4 como imagen de paz entre las naciones?,Serán guardadas en los palacios,Serán convertidas en herramientas de cultivo,Serán entregadas a los sacerdotes,Serán arrojadas al mar,B,Serán convertidas en herramientas de cultivo,La visión describe el abandono de la guerra mediante la transformación de armas en instrumentos destinados al trabajo de la tierra.,Revisar,No,No
QB0516,AT,Isaías,Isaías 6:2,Basico,¿Cuántas alas tiene cada serafín en la visión de Isaías 6:2?,Dos,Cuatro,Seis,Ocho,C,Seis,"Isaías describe a cada serafín con seis alas, empleadas de distintas maneras dentro de la escena de la visión.",Revisar,No,No
QB0517,AT,Isaías,Isaías 7:3,Basico,¿Quién acompaña a Isaías cuando Dios le indica salir al encuentro del rey Acaz en Isaías 7:3?,Eliacim,Sebna,Maher-salal-has-baz,Sear-jasub,D,Sear-jasub,El profeta recibe la orden de encontrarse con Acaz acompañado por su hijo Sear-jasub.,Revisar,No,No
QB0518,AT,Isaías,Isaías 9:2,Basico,¿Qué imagen usa Isaías 9:2 para describir el cambio experimentado por el pueblo que vivía en oscuridad?,Una gran luz resplandece sobre ellos,Un río cubre toda la tierra,Una muralla rodea las ciudades,Una nube oculta el camino,A,Una gran luz resplandece sobre ellos,El pasaje contrasta la oscuridad previa con la aparición de una gran luz como señal de un cambio decisivo.,Revisar,No,No
QB0519,AT,Isaías,Isaías 11:1,Basico,¿De qué tronco o familia surge el retoño anunciado en Isaías 11:1?,De Saúl,De Jesé,De Aarón,De Josué,B,De Jesé,"La imagen profética presenta un retoño que surge del tronco de Jesé, padre de David.",Revisar,No,No
QB0520,AT,Isaías,Isaías 37:1,Basico,¿A dónde se dirige Ezequías después de recibir la noticia que lo aflige en Isaías 37:1?,Al palacio de Asiria,A la casa de Isaías,A la casa del Señor,A las murallas de Samaria,C,A la casa del Señor,Ezequías reacciona con duelo y busca la casa del Señor ante la amenaza que enfrenta Jerusalén.,Revisar,No,No
QB0521,AT,Isaías,Isaías 7:10-12,Intermedio,¿Qué se niega a pedir el rey Acaz cuando recibe una invitación divina en Isaías 7:10-12?,Un ejército aliado,Un nuevo sacerdote,Un tributo para Asiria,Una señal,D,Una señal,"Acaz rehúsa pedir la señal que se le ofrece, respuesta que da paso al anuncio que sigue en el capítulo.",Revisar,No,No
QB0522,AT,Isaías,Isaías 10:20-22,Intermedio,¿Qué grupo anuncia Isaías 10:20-22 que volverá y confiará en Dios?,Un remanente de Israel,Todo el ejército asirio,Los comerciantes de Tiro,Los sacerdotes de Egipto,A,Un remanente de Israel,La profecía habla de un remanente de Israel que regresa y deposita su confianza sinceramente en Dios.,Revisar,No,No
QB0523,AT,Isaías,Isaías 25:6,Intermedio,¿Qué imagen de abundancia utiliza Isaías 25:6 para describir lo que Dios prepara para todos los pueblos?,Una ciudad rodeada de murallas,Un banquete abundante,Una flota de barcos,Un ejército numeroso,B,Un banquete abundante,La visión emplea la imagen de un gran banquete preparado para los pueblos como signo de abundancia y bendición.,Revisar,No,No
QB0524,AT,Isaías,Isaías 36:1-2,Intermedio,¿Qué rey de Asiria envió un gran ejército contra Jerusalén durante el reinado de Ezequías?,Salmanasar,V,Tiglat-pileser,Nabucodonosor,Senaquerib,D,Senaquerib,Isaías 36 sitúa la amenaza asiria bajo Senaquerib durante el reinado de Ezequías.,Revisar,No,No
QB0525,AT,Isaías,Isaías 37:2-4,Intermedio,¿A quiénes envió Ezequías ante el profeta Isaías durante la crisis asiria?,"Eliacim, Sebna y los ancianos de los sacerdotes","Joab, Abiatar y Sadoc","Esdras, Nehemías y Zorobabel","Daniel, Ananías y Misael",A,"Eliacim, Sebna y los ancianos de los sacerdotes",El rey envió a estos representantes vestidos con señales de duelo para buscar orientación ante Isaías.,Revisar,No,No
QB0526,AT,Isaías,Isaías 38:1-5,Intermedio,¿Qué hizo Ezequías después de recibir el anuncio de que debía poner en orden su casa?,Convocó a sus generales para defender la ciudad,Se volvió hacia la pared y oró,Abandonó Jerusalén de inmediato,Entregó el trono a su hijo,B,Se volvió hacia la pared y oró,El relato presenta a Ezequías respondiendo al anuncio con una oración intensa.,Revisar,No,No
QB0527,AT,Isaías,Isaías 5:1-7,Avanzado,¿Qué representa finalmente la viña en la explicación de Isaías 5:1-7?,Los pueblos marítimos del Mediterráneo,El imperio asirio,La casa de Israel y el pueblo de Judá,Los sacerdotes del templo,C,La casa de Israel y el pueblo de Judá,El propio poema identifica la viña y sus plantas con Israel y Judá.,Revisar,No,No
QB0528,AT,Isaías,Isaías 6:1-7,Avanzado,¿Qué acción realiza uno de los serafines respecto de Isaías durante la visión del capítulo 6?,Lo conduce fuera del templo,Le entrega un rollo escrito,Coloca una corona sobre su cabeza,Toca sus labios con un carbón tomado del altar,D,Toca sus labios con un carbón tomado del altar,El serafín emplea un carbón del altar en una acción simbólica relacionada con la purificación del profeta.,Revisar,No,No
QB0529,AT,Isaías,Isaías 11:1-9,Avanzado,¿Qué idea reúne mejor las imágenes de convivencia entre animales presentadas en Isaías 11?,Una creación caracterizada por una convivencia pacífica,La preparación de animales para el sacrificio,La huida de los animales hacia el desierto,La competencia por el alimento entre especies,A,Una creación caracterizada por una convivencia pacífica,Las imágenes de depredadores y presas viviendo juntos comunican una visión de paz y armonía.,Revisar,No,No
QB0530,AT,Isaías,Isaías 20:1-4,Avanzado,¿Durante cuánto tiempo caminó Isaías de la manera indicada como señal respecto de Egipto y Cus?,Un año,Tres años,Siete años,Doce años,B,Tres años,El profeta realiza esta acción simbólica durante tres años como señal vinculada con Egipto y Cus.,Revisar,No,No
QB0531,AT,Isaías,Isaías 22:15-25,Avanzado,¿Qué cambio de funcionarios se anuncia en la profecía dirigida a Sebna?,Sebna será reemplazado por Jeremías,Sebna será reemplazado por Ezequiel,Sebna será reemplazado por Eliacim,Sebna será reemplazado por Josías,C,Sebna será reemplazado por Eliacim,El pasaje anuncia el retiro de Sebna y la entrega de su autoridad a Eliacim.,Revisar,No,No
QB0532,AT,Isaías,Isaías 36:13-20,Avanzado,¿Qué argumento utiliza el enviado asirio para intentar debilitar la confianza de Jerusalén?,Promete abandonar Asiria si la ciudad se rinde,Afirma que Egipto ya ha conquistado Asiria,Ofrece convertir a Ezequías en rey de Asiria,Compara al Señor con dioses de otras naciones que no libraron sus tierras,D,Compara al Señor con dioses de otras naciones que no libraron sus tierras,El discurso intenta intimidar a Jerusalén mediante la comparación con otros pueblos vencidos por Asiria.,Revisar,No,No
QB0533,AT,Isaías,Isaías 37:14-20,Experto,¿Qué hace Ezequías con la carta de amenaza antes de orar en Isaías 37?,La extiende ante el Señor,La quema delante del pueblo,La devuelve sin abrir al enviado,La entrega a los sacerdotes para archivarla,A,La extiende ante el Señor,El rey lleva la amenaza recibida al templo y la presenta ante Dios mientras ora.,Revisar,No,No
QB0534,AT,Isaías,Isaías 38:7-8,Experto,¿Qué señal relacionada con una sombra recibe Ezequías para confirmar la promesa divina?,La sombra desaparece durante todo el día,La sombra retrocede diez grados o pasos,La sombra permanece inmóvil siete días,La sombra avanza hasta cubrir el templo,B,La sombra retrocede diez grados o pasos,El relato presenta el retroceso de la sombra como señal que confirma la palabra anunciada a Ezequías.,Revisar,No,No
QB0535,AT,Isaías,Isaías 39:1-8,Experto,¿Qué hizo Ezequías cuando llegaron los enviados de Babilonia?,Rechazó recibirlos y cerró el palacio,Los envió directamente al profeta Isaías,Les mostró sus tesoros y recursos,Les pidió ayuda militar contra Asiria,C,Les mostró sus tesoros y recursos,Ezequías mostró a los enviados babilonios sus riquezas y recursos disponibles.,Revisar,No,No
QB0536,AT,Jeremías,Jeremías 1:4-8,Basico,¿Qué objeción presenta Jeremías cuando recibe su llamado profético?,Afirma que no conoce Jerusalén,Explica que pertenece a otra tribu,Dice que no sabe hablar bien porque es joven,Señala que ya sirve como soldado,C,Señala que no sabe hablar bien porque es joven,Jeremías responde al llamado expresando inseguridad por su juventud y su capacidad para hablar.,Revisar,No,No
QB0537,AT,Jeremías,Jeremías 1:11-12,Basico,¿Qué objeto vegetal ve Jeremías en su primera visión?,Una rama de almendro,Una rama de olivo,Una vid cargada de uvas,Una higuera,A,Una rama de almendro,La primera visión descrita en el libro presenta una rama de almendro ante el profeta.,Revisar,No,No
QB0538,AT,Jeremías,Jeremías 7:1-7,Basico,¿Dónde debía colocarse Jeremías para proclamar el mensaje del capítulo 7?,En la plaza del palacio,A la puerta de la casa del Señor,En las murallas de Samaria,Junto al río Éufrates,B,A la puerta de la casa del Señor,Jeremías recibe la orden de situarse en la entrada del templo para comunicar el mensaje a quienes acudían al culto.,Revisar,No,No
QB0539,AT,Jeremías,Jeremías 18:1-4,Basico,¿Qué oficio observa Jeremías para recibir una enseñanza simbólica?,Carpintero,Pastor,Alfarero,Pescador,C,Alfarero,Jeremías observa el trabajo de un alfarero y su manejo del barro como base de la enseñanza que sigue.,Revisar,No,No
QB0540,AT,Jeremías,Jeremías 29:1-4,Basico,¿A quiénes dirige Jeremías la carta mencionada al inicio del capítulo 29?,A los soldados de Egipto,A los sacerdotes de Samaria,A los comerciantes de Tiro,A los desterrados que estaban en Babilonia,D,A los desterrados que estaban en Babilonia,La carta se dirige a quienes habían sido llevados al exilio en Babilonia.,Revisar,No,No
QB0541,AT,Jeremías,Jeremías 32:6-12,Basico,¿Qué compra Jeremías como parte de una acción simbólica durante el sitio?,Un campo,Una casa en Jerusalén,Un rebaño,Un carro,A,Un campo,Jeremías adquiere un campo y formaliza la compra aun en un contexto de crisis.,Revisar,No,No
QB0542,AT,Jeremías,Jeremías 36:1-4,Intermedio,¿Quién escribe en un rollo las palabras dictadas por Jeremías?,Ebed-mélec,Baruc,Safán,Seraías,B,Baruc,Jeremías dicta el mensaje y Baruc actúa como escriba al registrarlo en un rollo.,Revisar,No,No
QB0543,AT,Jeremías,Jeremías 36:21-23,Intermedio,¿Qué hace el rey con el rollo que contiene las palabras de Jeremías?,Lo guarda en el tesoro del templo,Lo devuelve a Baruc sin leerlo,Lo corta progresivamente y lo arroja al fuego,Lo envía al rey de Babilonia,C,Lo corta progresivamente y lo arroja al fuego,El relato describe al rey destruyendo el rollo mientras se leía su contenido.,Revisar,No,No
QB0544,AT,Jeremías,Jeremías 37:11-15,Intermedio,¿Qué sucede con Jeremías cuando intenta salir de Jerusalén?,Es nombrado comandante de la guardia,Es enviado como embajador a Egipto,Recibe permiso para ir a Babilonia,Es acusado de pasarse a los caldeos y termina detenido,D,Es acusado de pasarse a los caldeos y termina detenido,Jeremías es interceptado y acusado de intentar desertar antes de ser puesto bajo custodia.,Revisar,No,No
QB0545,AT,Jeremías,Jeremías 38:1-6,Intermedio,¿Dónde colocan a Jeremías después de que ciertos funcionarios piden castigarlo?,En una cisterna,En el templo,En la casa del rey,En una torre,A,En una cisterna,Los funcionarios consiguen que Jeremías sea bajado a una cisterna durante la crisis de Jerusalén.,Revisar,No,No
QB0546,AT,Jeremías,Jeremías 38:7-13,Intermedio,¿Quién interviene ante el rey para sacar a Jeremías de la cisterna?,Baruc,Ebed-mélec,Pasjur,Sofonías,B,Ebed-mélec,Ebed-mélec habla con el rey y organiza el rescate de Jeremías.,Revisar,No,No
QB0547,AT,Jeremías,Jeremías 2:1-13,Avanzado,¿Qué contraste utiliza Jeremías para describir el abandono de Dios por parte del pueblo?,Dejaron el desierto para buscar un río,Dejaron la ciudad para vivir en tiendas,Abandonaron una fuente de agua viva para construir cisternas incapaces de retener agua,C,Abandonaron una fuente de agua viva para construir cisternas incapaces de retener agua,El profeta contrapone una fuente abundante con cisternas defectuosas para describir el cambio de lealtad espiritual.,Revisar,No,No
QB0548,AT,Jeremías,Jeremías 19:1-13,Avanzado,¿Qué objeto utiliza Jeremías en el capítulo 19 como parte de una acción simbólica sobre el juicio?,Un rollo escrito,Un yugo de madera,Una cesta de higos,Una vasija de barro que después rompe,D,Una vasija de barro que después rompe,Jeremías emplea una vasija de barro y su ruptura como imagen del juicio anunciado.,Revisar,No,No
QB0549,AT,Jeremías,Jeremías 24:1-10,Avanzado,¿Qué dos grupos de frutos aparecen en la visión del capítulo 24?,Higos buenos e higos muy malos,Uvas maduras y uvas verdes,Aceitunas claras y oscuras,Granadas grandes y pequeñas,A,Higos buenos e higos muy malos,Jeremías contempla dos grupos de higos de calidad opuesta que sirven como símbolos de distintos destinos.,Revisar,No,No
QB0550,AT,Jeremías,Jeremías 27:1-11,Avanzado,¿Qué objeto lleva Jeremías como señal relacionada con el dominio de Babilonia?,Una espada,Un yugo,Una corona,Una cadena,B,Un yugo,Jeremías utiliza yugos como símbolo del sometimiento a la autoridad babilónica anunciada para varias naciones.,Revisar,No,No
QB0551,AT,Jeremías,Jeremías 28:1-17,Avanzado,¿Qué profeta contradice públicamente el mensaje de Jeremías y rompe el yugo que este llevaba?,Pasjur,Baruc,Hananías,Ezequiel,C,Hananías,Hananías presenta un mensaje contrario al de Jeremías y rompe el yugo en una confrontación pública.,Revisar,No,No
QB0552,AT,Jeremías,Jeremías 29:4-9,Avanzado,¿Qué orientación reciben los desterrados sobre su vida en Babilonia?,Evitar establecerse y esperar una salida inmediata,Rehusar cualquier trabajo para mostrar protesta,Vivir aislados de la población local,"Construir casas, formar familias y procurar el bienestar del lugar donde viven",D,"Construir casas, formar familias y procurar el bienestar del lugar donde viven",La carta recomienda desarrollar una vida estable y buscar el bienestar de la ciudad durante el periodo del exilio.,Revisar,No,No
QB0553,AT,Jeremías,Jeremías 31:31-34,Experto,¿Dónde sitúa Jeremías el conocimiento de la ley dentro de la descripción de la nueva alianza?,En el interior de las personas y escrita en su corazón,Únicamente en tablas guardadas en el templo,En decretos entregados solo a los reyes,En documentos administrados por Babilonia,A,En el interior de las personas y escrita en su corazón,La nueva alianza se caracteriza por una relación interior en la que la enseñanza queda inscrita en el corazón.,Revisar,No,No
QB0554,AT,Jeremías,Jeremías 32:13-15,Experto,¿Qué debía hacerse con los documentos de la compra del campo realizada por Jeremías?,Quemarlos después de que la ciudad fuera sitiada,Guardarlos en una vasija de barro para conservarlos durante mucho tiempo,Enviarlos al rey de Babilonia,Colocarlos bajo el altar,B,Guardarlos en una vasija de barro para conservarlos durante mucho tiempo,La conservación de las escrituras de compra refuerza el carácter simbólico de esperanza futura asociado a esa adquisición.,Revisar,No,No
QB0555,AT,Lamentaciones,Lamentaciones 1:1,Basico,¿Cómo se describe al inicio de Lamentaciones la situación de la ciudad que antes estaba llena de gente?,Como una ciudad celebrando una fiesta,Como una ciudad ampliando sus murallas,Como una ciudad que ahora está solitaria,Como una ciudad convertida en capital de Babilonia,C,Como una ciudad que ahora está solitaria,El poema abre con el contraste entre la antigua vitalidad de la ciudad y su situación de desolación.,Revisar,No,No
QB0556,AT,Lamentaciones,Lamentaciones 2:18-19,Basico,¿Qué acción se anima a realizar durante la noche en Lamentaciones 2:18-19?,Dormir para olvidar la desgracia,Organizar una celebración,Abandonar la ciudad en silencio,Clamar y derramar el corazón delante del Señor,D,Clamar y derramar el corazón delante del Señor,El poema anima a expresar la angustia ante Dios con un clamor perseverante.,Revisar,No,No
QB0557,AT,Lamentaciones,Lamentaciones 3:22-23,Basico,¿Qué se presenta como algo que se renueva cada mañana en Lamentaciones 3:22-23?,La compasión o misericordia de Dios,Las murallas de Jerusalén,Las riquezas del reino,Las fuerzas del ejército,A,La compasión o misericordia de Dios,El poema encuentra esperanza en la constancia de la compasión divina que se renueva cada mañana.,Revisar,No,No
QB0558,AT,Lamentaciones,Lamentaciones 3:25-26,Intermedio,¿Qué actitud recomienda Lamentaciones 3:25-26 respecto de la salvación del Señor?,Exigir una respuesta inmediata,Esperar con paciencia y en silencio,Buscar únicamente ayuda militar,Abandonar toda esperanza,B,Esperar con paciencia y en silencio,El poema presenta la espera confiada como una respuesta adecuada en medio de la aflicción.,Revisar,No,No
QB0559,AT,Lamentaciones,Lamentaciones 3:40-42,Intermedio,¿Qué ejercicio propone Lamentaciones 3:40-42 antes de volver a Dios?,Examinar únicamente los errores de otras naciones,Revisar las cuentas económicas del reino,Examinar los propios caminos y volver al Señor,Reunir un nuevo ejército,C,Examinar los propios caminos y volver al Señor,El pasaje vincula la revisión de la propia conducta con el retorno sincero a Dios.,Revisar,No,No
QB0560,AT,Lamentaciones,Lamentaciones 5:19-22,Avanzado,¿Qué tensión aparece al final de Lamentaciones entre afirmación y petición?,La certeza de que Jerusalén nunca fue destruida y el deseo de viajar,La afirmación de que Babilonia gobierna para siempre y la petición de prosperidad,La afirmación de que no existe esperanza y la decisión de abandonar toda oración,El reconocimiento del reinado permanente de Dios y la súplica de restauración,D,El reconocimiento del reinado permanente de Dios y la súplica de restauración,El cierre reconoce la permanencia del gobierno divino mientras pide que el pueblo sea restaurado.,Revisar,No,No
QB0561,AT,Lamentaciones,Lamentaciones 1:12-16,Avanzado,¿Qué imagen domina la descripción personal de la ciudad sufriente en Lamentaciones 1:12-16?,Una figura que llora y experimenta una aflicción profunda,Un rey que celebra una victoria,Un comerciante que amplía sus riquezas,Un pastor que reúne un rebaño,A,Una figura que llora y experimenta una aflicción profunda,El poema personifica a la ciudad mediante un lenguaje intenso de dolor y llanto.,Revisar,No,No
QB0562,AT,Lamentaciones,Lamentaciones 3:21-33,Experto,¿Qué movimiento de pensamiento caracteriza Lamentaciones 3:21-33?,Pasa de la esperanza a la conclusión de que Dios no actúa,Pasa del sufrimiento recordado a una esperanza basada en la compasión y fidelidad de Dios,Pasa de una celebración a un anuncio de derrota militar,Pasa de una profecía contra Egipto a una descripción del templo,B,Pasa del sufrimiento recordado a una esperanza basada en la compasión y fidelidad de Dios,La sección constituye un giro desde la aflicción hacia una esperanza sostenida por el carácter misericordioso de Dios.,Revisar,No,No
QB0563,AT,Lamentaciones,Lamentaciones 4:1-2,Experto,¿Qué comparación establece el inicio de Lamentaciones 4 entre el oro y los habitantes de Sion?,El oro aumenta de valor mientras los habitantes se enriquecen,El oro es enviado a Babilonia mientras los habitantes permanecen seguros,El oro pierde su brillo y los valiosos habitantes son tratados como vasijas ordinarias,El oro se utiliza para reconstruir el templo,C,El oro pierde su brillo y los valiosos habitantes son tratados como vasijas ordinarias,La comparación subraya el cambio dramático de condición mediante imágenes de objetos valiosos que han perdido su antigua estima.,Revisar,No,No
QB0564,AT,Baruc,Baruc 1:1-5,Basico,¿Dónde leyó Baruc el libro que había escrito según Baruc 1:1-5?,En Jerusalén junto al altar,En Samaria delante de los ancianos,En Egipto ante los sacerdotes,En Babilonia ante el rey Jeconías y los desterrados,D,En Babilonia ante el rey Jeconías y los desterrados,El relato sitúa a Baruc en Babilonia leyendo el escrito ante Jeconías y otros miembros de la comunidad desterrada.,Revisar,No,No
QB0565,AT,Baruc,Baruc 1:15-22,Basico,¿Qué reconoce la oración de Baruc 1:15-22 acerca de la conducta del pueblo?,Que el pueblo no escuchó la voz del Señor,Que el pueblo nunca recibió mandamientos,Que solo las naciones extranjeras actuaron mal,Que los reyes obedecieron siempre,A,Que el pueblo no escuchó la voz del Señor,La confesión reconoce que la desobediencia del pueblo forma parte de la causa de su situación.,Revisar,No,No
QB0566,AT,Baruc,Baruc 2:11-18,Intermedio,¿Qué fundamento recuerda la oración de Baruc 2:11-18 al dirigirse a Dios?,La riqueza acumulada por los reyes,La liberación de Israel de Egipto,La construcción de las murallas de Jerusalén,La alianza comercial con Tiro,B,La liberación de Israel de Egipto,La oración recuerda la acción de Dios al sacar a su pueblo de Egipto como parte de la súplica presente.,Revisar,No,No
QB0567,AT,Baruc,Baruc 3:9-15,Intermedio,¿Qué invita Baruc 3:9-15 a buscar al hablar de la situación de Israel?,Un nuevo rey humano,Una alianza con Babilonia,El camino del conocimiento y la sabiduría,Un territorio diferente,C,El camino del conocimiento y la sabiduría,La sección introduce una reflexión sobre dónde se encuentra la sabiduría y cómo puede conocerse.,Revisar,No,No
QB0568,AT,Baruc,Baruc 3:32-38,Avanzado,¿Qué secuencia describe Baruc 3:32-38 acerca de la sabiduría?,Fue creada por los reyes y llevada después a Jerusalén,Se encontró primero entre los egipcios y luego entre los israelitas,Surgió de los estudios de los sabios y fue elevada al cielo,Dios la conoce y la hizo aparecer en la tierra entre los seres humanos,D,Dios la conoce y la hizo aparecer en la tierra entre los seres humanos,La sección presenta a Dios como quien conoce plenamente la sabiduría y la manifiesta en la historia humana.,Revisar,No,No
QB0569,AT,Baruc,Baruc 4:5-9,Basico,¿Cómo se dirige Baruc 4:5-9 al pueblo al comenzar una sección de consuelo?,Con una invitación a cobrar ánimo,Con una orden de abandonar Jerusalén,Con una exigencia de formar un ejército,Con una invitación a regresar a Egipto,A,Con una invitación a cobrar ánimo,El texto cambia hacia un tono de ánimo y llama al pueblo a mantener la esperanza.,Revisar,No,No
