ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0011,AT,Génesis,Génesis 3:6,Intermedio,¿Qué hizo la mujer después de tomar del fruto?,Comió y dio también a su marido,Lo escondió,Lo arrojó,Lo entregó a la serpiente,A,Comió y dio también a su marido,El relato indica que tomó del fruto, comió y dio también a su marido.,Revisar,No,No
QB0012,AT,Génesis,Génesis 4:8,Basico,¿Quién mató a Abel?,Caín,Set,Noé,Enoc,A,Caín,El relato presenta a Caín atacando a su hermano Abel.,Revisar,No,No
QB0013,AT,Génesis,Génesis 6:8,Intermedio,¿Quién halló favor ante Dios en medio de una generación corrompida?,Noé,Lot,Abraham,Isaac,A,Noé,El relato destaca a Noé como alguien que halló favor ante Dios.,Revisar,No,No
QB0014,AT,Génesis,Génesis 8:11,Intermedio,¿Qué llevó la paloma a Noé como señal de que las aguas habían bajado?,Una hoja de olivo,Una rama de cedro,Una piedra,Una espiga,A,Una hoja de olivo,La paloma regresó con una hoja de olivo, señal de que las aguas habían descendido.,Revisar,No,No
QB0015,AT,Génesis,Génesis 9:13,Basico,¿Qué señal se estableció como signo del pacto después del diluvio?,El arco iris,Una estrella,Una columna de fuego,Una montaña,A,El arco iris,El arco en las nubes aparece como señal del pacto posterior al diluvio.,Revisar,No,No
QB0016,AT,Génesis,Génesis 11:9,Intermedio,¿Por qué recibió Babel ese nombre?,Porque allí se confundió la lengua de la humanidad,Porque fue la primera ciudad,Porque allí nació Abraham,Porque fue destruida por fuego,A,Porque allí se confundió la lengua de la humanidad,El nombre se asocia con la confusión de las lenguas y la dispersión de los pueblos.,Revisar,No,No
QB0017,AT,Génesis,Génesis 13:10-11,Intermedio,¿Qué región eligió Lot cuando se separó de Abraham?,La llanura del Jordán,El desierto del Sinaí,La región de Hebrón,La costa del Mediterráneo,A,La llanura del Jordán,Lot observó la fertilidad de la llanura del Jordán y eligió esa región.,Revisar,No,No
QB0018,AT,Génesis,Génesis 15:5,Intermedio,¿Qué comparación se usa para ilustrar la futura descendencia de Abraham?,Las estrellas del cielo,Las olas del mar,Los árboles del bosque,Las piedras del desierto,A,Las estrellas del cielo,La promesa compara la descendencia de Abraham con la multitud de las estrellas.,Revisar,No,No
QB0019,AT,Génesis,Génesis 18:2,Avanzado,¿Cuántos visitantes vio Abraham cerca de su tienda?,Tres,Dos,Cuatro,Siete,A,Tres,El relato presenta a Abraham viendo a tres hombres cerca de su tienda.,Revisar,No,No
QB0020,AT,Génesis,Génesis 19:26,Basico,¿Qué ocurrió con la esposa de Lot cuando miró hacia atrás?,Quedó convertida en una estatua de sal,Se perdió en el desierto,Regresó a Sodoma,Fue llevada a otra ciudad,A,Quedó convertida en una estatua de sal,El relato describe que al mirar atrás quedó convertida en una estatua de sal.,Revisar,No,No
QB0021,AT,Génesis,Génesis 21:3,Basico,¿Qué nombre dio Abraham al hijo que le nació de Sara?,Isaac,Ismael,Jacob,José,A,Isaac,Abraham llamó Isaac al hijo que nació de Sara.,Revisar,No,No
QB0022,AT,Génesis,Génesis 24:15,Intermedio,¿Quién apareció junto al pozo cuando el siervo de Abraham buscaba esposa para Isaac?,Rebeca,Raquel,Lea,Sara,A,Rebeca,El relato presenta a Rebeca llegando al pozo mientras el siervo buscaba esposa para Isaac.,Revisar,No,No
QB0023,AT,Génesis,Génesis 27:19,Avanzado,¿Qué identidad asumió Jacob ante Isaac para recibir la bendición?,La de Esaú,La de José,La de Ismael,La de Labán,A,La de Esaú,Jacob se presentó ante su padre como si fuera Esaú para recibir la bendición.,Revisar,No,No
QB0024,AT,Génesis,Génesis 29:25,Intermedio,¿Con quién descubrió Jacob que se había casado después de la boda?,Lea,Raquel,Rebeca,Sara,A,Lea,Jacob esperaba casarse con Raquel, pero descubrió que Labán le había dado a Lea.,Revisar,No,No
QB0025,AT,Génesis,Génesis 32:28,Avanzado,¿Qué nuevo nombre recibió Jacob?,Israel,Judá,Efraín,Leví,A,Israel,Jacob recibió el nombre Israel después del episodio de lucha nocturna.,Revisar,No,No
QB0026,AT,Génesis,Génesis 35:18,Intermedio,¿Qué nombre dio Jacob a su hijo menor?,Benjamín,José,Dan,Neftalí,A,Benjamín,Jacob llamó Benjamín al hijo nacido de Raquel antes de la muerte de ella.,Revisar,No,No
QB0027,AT,Génesis,Génesis 37:28,Intermedio,¿A quiénes vendieron los hermanos a José?,A mercaderes que iban hacia Egipto,A soldados filisteos,A pastores de Canaán,A comerciantes fenicios,A,A mercaderes que iban hacia Egipto,José fue vendido a una caravana de mercaderes que se dirigía a Egipto.,Revisar,No,No
QB0028,AT,Génesis,Génesis 39:2,Intermedio,¿Qué característica se destaca de José en Egipto?,Que Dios estaba con él,Que era soldado,Que era sacerdote,Que era escriba,A,Que Dios estaba con él,El relato subraya que Dios estaba con José durante su estancia en Egipto.,Revisar,No,No
QB0029,AT,Génesis,Génesis 40:8,Avanzado,¿A quién atribuyó José la interpretación de los sueños?,A Dios,A los sabios egipcios,A los sacerdotes,A la astrología,A,A Dios,José afirmó que la interpretación de los sueños pertenece a Dios.,Revisar,No,No
QB0030,AT,Génesis,Génesis 41:41,Intermedio,¿Qué autoridad otorgó el faraón a José?,Gobierno sobre Egipto,Mando sobre Canaán,Control del templo,Liderazgo militar de Israel,A,Gobierno sobre Egipto,El faraón puso a José sobre la administración de Egipto.,Revisar,No,No
QB0031,AT,Génesis,Génesis 42:7,Avanzado,¿Cómo actuó José inicialmente al reconocer a sus hermanos?,Fingió no conocerlos,Los abrazó inmediatamente,Les reveló su identidad,Los expulsó del país,A,Fingió no conocerlos,José reconoció a sus hermanos pero inicialmente ocultó su identidad.,Revisar,No,No
QB0032,AT,Génesis,Génesis 43:34,Avanzado,¿Quién recibió una porción mayor durante la comida con José?,Benjamín,Rubén,Judá,Simeón,A,Benjamín,Benjamín recibió una porción notablemente mayor durante la comida.,Revisar,No,No
QB0033,AT,Génesis,Génesis 46:3,Intermedio,¿Qué promesa recibió Jacob antes de descender a Egipto?,Que Dios haría de él una gran nación,Que sería rey de Egipto,Que regresaría inmediatamente a Canaán,Que no encontraría dificultades,A,Que Dios haría de él una gran nación,Jacob recibió la promesa de que en Egipto su familia llegaría a ser una gran nación.,Revisar,No,No
QB0034,AT,Génesis,Génesis 47:11,Avanzado,¿En qué región de Egipto se estableció la familia de Jacob?,En la región de Ramsés,En Tebas,En Menfis,En el desierto oriental,A,En la región de Ramsés,José estableció a su familia en una zona fértil de Egipto identificada como la región de Ramsés.,Revisar,No,No
QB0035,AT,Génesis,Génesis 48:14,Avanzado,¿Qué hizo Jacob al bendecir a Efraín y Manasés?,Cruzó las manos,Los bendijo por separado en días distintos,Se negó a bendecir al menor,Pidió al faraón que los bendijera,A,Cruzó las manos,Jacob cruzó sus manos para colocar la derecha sobre Efraín, el menor.,Revisar,No,No
QB0036,AT,Génesis,Génesis 49:10,Experto,¿Con qué tribu se relaciona la imagen del cetro en la bendición de Jacob?,Judá,Leví,José,Benjamín,A,Judá,La bendición de Jacob asocia el cetro y el liderazgo con Judá.,Revisar,No,No
QB0037,AT,Génesis,Génesis 50:20,Intermedio,¿Cómo interpretó José el mal que sus hermanos intentaron hacerle?,Como algo que Dios encaminó para bien,Como una derrota definitiva,Como una casualidad,Como una injusticia sin propósito,A,Como algo que Dios encaminó para bien,José afirmó que aquello que fue pensado para mal terminó siendo encaminado para preservar muchas vidas.,Revisar,No,No
QB0038,AT,Génesis,Génesis 50:26,Basico,¿Dónde murió José?,En Egipto,En Canaán,En Babilonia,En Jerusalén,A,En Egipto,El libro concluye relatando la muerte de José en Egipto.,Revisar,No,No
QB0039,AT,Génesis,Génesis 4:25,Intermedio,¿Qué hijo nació de Adán y Eva después de Abel?,Set,Caín,Enoc,Lamec,A,Set,El relato menciona el nacimiento de Set después de la muerte de Abel.,Revisar,No,No
QB0040,AT,Génesis,Génesis 5:24,Avanzado,¿Qué se dice de Enoc?,Que caminó con Dios,Que construyó una ciudad,Que fue rey,Que sobrevivió al diluvio,A,Que caminó con Dios,Enoc es descrito como alguien que caminó con Dios.,Revisar,No,No
QB0041,AT,Génesis,Génesis 7:16,Avanzado,¿Quién cerró la puerta del arca después de que entraron sus ocupantes?,Dios,Noé,Sem,Un ángel,A,Dios,El relato atribuye a Dios el cierre del arca después de la entrada de Noé y los demás.,Revisar,No,No
QB0042,AT,Génesis,Génesis 12:7,Intermedio,¿Qué construyó Abraham después de recibir una promesa en Canaán?,Un altar,Una ciudad,Un palacio,Una torre,A,Un altar,Abraham construyó un altar como respuesta al encuentro y la promesa recibida.,Revisar,No,No
QB0043,AT,Génesis,Génesis 14:18,Avanzado,¿Quién era Melquisedec?,Rey de Salem y sacerdote,Rey de Egipto,General de Abraham,Siervo de Lot,A,Rey de Salem y sacerdote,Melquisedec es presentado como rey de Salem y sacerdote del Dios Altísimo.,Revisar,No,No
QB0044,AT,Génesis,Génesis 16:15,Basico,¿Qué nombre recibió el hijo de Agar y Abraham?,Ismael,Isaac,Esaú,Jacob,A,Ismael,Agar dio a luz un hijo de Abraham que recibió el nombre Ismael.,Revisar,No,No
QB0045,AT,Génesis,Génesis 17:5,Intermedio,¿Qué cambio de nombre recibió Abram?,Abraham,Israel,Isaac,Judá,A,Abraham,Abram recibió el nombre Abraham en el contexto del pacto.,Revisar,No,No
QB0046,AT,Génesis,Génesis 20:2,Avanzado,¿Cómo presentó Abraham a Sara ante Abimélec?,Como su hermana,Como su hija,Como su sierva,Como su prima,A,Como su hermana,Abraham dijo que Sara era su hermana al encontrarse con Abimélec.,Revisar,No,No
QB0047,AT,Génesis,Génesis 23:19,Intermedio,¿Dónde sepultó Abraham a Sara?,En la cueva de Macpela,En Betel,En Siquem,En Beerseba,A,En la cueva de Macpela,Sara fue sepultada en la cueva de Macpela, propiedad adquirida por Abraham.,Revisar,No,No
QB0048,AT,Génesis,Génesis 26:12,Intermedio,¿Qué resultado obtuvo Isaac al sembrar en aquella tierra?,Una cosecha abundante,Una pérdida total,Una cosecha pequeña,Ninguna cosecha,A,Una cosecha abundante,El relato señala que Isaac obtuvo una cosecha notablemente abundante.,Revisar,No,No
QB0049,AT,Génesis,Génesis 28:19,Basico,¿Qué nombre dio Jacob al lugar donde había tenido su sueño?,Betel,Hebrón,Siquem,Jericó,A,Betel,Jacob llamó Betel al lugar asociado con su sueño y encuentro con Dios.,Revisar,No,No
QB0050,AT,Génesis,Génesis 30:22-24,Basico,¿Qué hijo nació de Raquel después de que Dios atendiera su petición?,José,Benjamín,Dan,Neftalí,A,José,Raquel dio a luz a José después de un período de esterilidad.,Revisar,No,No
QB0051,AT,Génesis,Génesis 31:19,Avanzado,¿Qué tomó Raquel al salir de la casa de su padre?,Los ídolos domésticos,El ganado principal,Los documentos de Labán,El oro del templo,A,Los ídolos domésticos,Raquel tomó los ídolos domésticos pertenecientes a su padre Labán.,Revisar,No,No
QB0052,AT,Génesis,Génesis 33:4,Intermedio,¿Cómo recibió Esaú a Jacob cuando volvieron a encontrarse?,Corrió a abrazarlo,Lo rechazó,Lo desafió a luchar,Lo ignoró,A,Corrió a abrazarlo,El reencuentro entre los hermanos se presenta con una recepción afectuosa por parte de Esaú.,Revisar,No,No
QB0053,AT,Génesis,Génesis 34:25,Avanzado,¿Qué hijos de Jacob atacaron Siquem?,Simeón y Leví,Judá y Rubén,José y Benjamín,Dan y Gad,A,Simeón y Leví,Simeón y Leví participaron directamente en el ataque contra la ciudad de Siquem.,Revisar,No,No
QB0054,AT,Génesis,Génesis 36:1,Basico,¿Con qué otro nombre se identifica a Esaú?,Edom,Israel,Moab,Amón,A,Edom,El texto identifica a Esaú con Edom.,Revisar,No,No
QB0055,AT,Génesis,Génesis 38:29,Avanzado,¿Qué hijo de Tamar nació después de Pérez?,Zéraj,Onán,Er,Judá,A,Zéraj,El relato del nacimiento de los gemelos de Tamar menciona a Pérez y luego a Zéraj.,Revisar,No,No
QB0056,AT,Génesis,Génesis 39:12,Intermedio,¿Qué hizo José cuando la esposa de su amo intentó retenerlo?,Huyó dejando su ropa,La enfrentó físicamente,Pidió ayuda a los guardias,Se quedó discutiendo,A,Huyó dejando su ropa,José escapó de la situación dejando su ropa en manos de ella.,Revisar,No,No
QB0057,AT,Génesis,Génesis 41:14,Intermedio,¿De dónde fue sacado José antes de presentarse ante el faraón?,De la prisión,Del palacio,Del campo,Del templo,A,De la prisión,José fue llamado desde la prisión para interpretar los sueños del faraón.,Revisar,No,No
QB0058,AT,Génesis,Génesis 44:2,Avanzado,¿Qué objeto ordenó José colocar en el saco de Benjamín?,Su copa de plata,Un anillo de oro,Una túnica,Una carta,A,Su copa de plata,José ordenó colocar su copa en el saco de Benjamín como parte de una prueba para sus hermanos.,Revisar,No,No
QB0059,AT,Génesis,Génesis 45:9,Intermedio,¿A quién pidió José que llevaran pronto a Egipto?,A su padre,A Benjamín solamente,A Esaú,A Labán,A,A su padre,José pidió a sus hermanos que informaran a su padre y lo llevaran a Egipto.,Revisar,No,No
QB0060,AT,Génesis,Génesis 47:28,Intermedio,¿Cuántos años vivió Jacob en Egipto?,Diecisiete años,Siete años,Veinte años,Cuarenta años,A,Diecisiete años,El relato indica que Jacob vivió diecisiete años en Egipto.,Revisar,No,No
QB0061,AT,Génesis,Génesis 49:29,Intermedio,¿Dónde pidió Jacob ser sepultado?,En la cueva de Macpela,En Egipto,En Betel,En Siquem,A,En la cueva de Macpela,Jacob pidió ser sepultado junto a sus antepasados en la cueva de Macpela.,Revisar,No,No
QB0062,AT,Génesis,Génesis 50:7,Avanzado,¿Quiénes acompañaron a José a sepultar a su padre?,Funcionarios del faraón y miembros de la familia,Solamente sus hermanos,Solamente egipcios,Nadie fuera de la familia,A,Funcionarios del faraón y miembros de la familia,El cortejo fúnebre incluyó miembros de la familia y representantes importantes de Egipto.,Revisar,No,No
QB0063,AT,Génesis,Génesis 6:19,Intermedio,¿Qué debía llevar Noé al arca además de su familia?,Parejas de seres vivos,Armas,Objetos de oro,Libros,A,Parejas de seres vivos,Noé recibió instrucciones de preservar representantes de los seres vivos dentro del arca.,Revisar,No,No
QB0064,AT,Génesis,Génesis 8:6-9,Avanzado,¿Qué ave envió Noé que regresó al no encontrar lugar donde posarse?,La paloma,El cuervo,El águila,La golondrina,A,La paloma,Noé envió una paloma y esta regresó al no encontrar un lugar seco donde descansar.,Revisar,No,No
QB0065,AT,Génesis,Génesis 15:6,Avanzado,¿Qué actitud de Abraham se destaca en relación con la promesa divina?,Creyó en Dios,Desconfió de Dios,Pidió una señal militar,Rechazó la promesa,A,Creyó en Dios,El relato destaca la confianza de Abraham en la promesa divina.,Revisar,No,No
QB0066,AT,Génesis,Génesis 18:12,Avanzado,¿Cómo reaccionó Sara al escuchar que tendría un hijo?,Se rió,Se enojó,Lloró,Salió corriendo,A,Se rió,Sara reaccionó con risa ante la idea de tener un hijo en su vejez.,Revisar,No,No
QB0067,AT,Génesis,Génesis 22:13,Intermedio,¿Qué animal encontró Abraham para ofrecer en lugar de su hijo?,Un carnero,Un cordero,Una cabra,Un toro,A,Un carnero,Abraham vio un carnero atrapado y lo ofreció en lugar de Isaac.,Revisar,No,No
QB0068,AT,Génesis,Génesis 24:67,Intermedio,¿A quién llevó Isaac a la tienda de su madre Sara?,A Rebeca,A Raquel,A Lea,A Agar,A,A Rebeca,Isaac recibió a Rebeca como esposa y la llevó a la tienda de Sara.,Revisar,No,No
QB0069,AT,Génesis,Génesis 27:41,Avanzado,¿Qué sentimiento tuvo Esaú hacia Jacob después de perder la bendición?,Resentimiento,Gratitud,Indiferencia,Admiración,A,Resentimiento,Esaú quedó resentido con Jacob por la bendición que había recibido.,Revisar,No,No
QB0070,AT,Génesis,Génesis 29:20,Intermedio,¿Cómo se describen los años que Jacob sirvió por Raquel?,Como pocos días por el amor que sentía,Como una carga insoportable,Como una pérdida de tiempo,Como un castigo,A,Como pocos días por el amor que sentía,El relato presenta el tiempo de servicio como breve a los ojos de Jacob por su amor hacia Raquel.,Revisar,No,No
QB0071,AT,Génesis,Génesis 32:24,Avanzado,¿Qué ocurrió con Jacob durante la noche antes de encontrarse con Esaú?,Luchó con un hombre hasta el amanecer,Durmió profundamente,Se perdió en el desierto,Fue atacado por soldados,A,Luchó con un hombre hasta el amanecer,El episodio describe una lucha nocturna que marcó un momento decisivo en la vida de Jacob.,Revisar,No,No
QB0072,AT,Génesis,Génesis 37:5,Intermedio,¿Qué elemento provocó mayor rechazo de los hermanos hacia José?,Sus sueños,Su riqueza,Su fuerza,Su edad,A,Sus sueños,Los sueños de José aumentaron el resentimiento de sus hermanos hacia él.,Revisar,No,No
QB0073,AT,Génesis,Génesis 39:21,Intermedio,¿Qué se destaca sobre José mientras estaba preso?,Que Dios estaba con él,Que escapó,Que se volvió soldado,Que fue olvidado por completo,A,Que Dios estaba con él,Incluso en prisión el relato mantiene la idea de que Dios acompañaba a José.,Revisar,No,No
QB0074,AT,Génesis,Génesis 41:39-40,Avanzado,¿Por qué el faraón puso a José sobre su casa y su pueblo?,Porque reconoció su sabiduría y discernimiento,Porque era egipcio,Porque pertenecía a la familia real,Porque era jefe militar,A,Porque reconoció su sabiduría y discernimiento,El faraón destacó la capacidad de José para comprender y administrar la situación anunciada.,Revisar,No,No
QB0075,AT,Génesis,Génesis 42:21,Avanzado,¿Qué reconocieron los hermanos de José cuando enfrentaron dificultades en Egipto?,Su culpa por lo ocurrido con José,Que José estaba muerto,Que Egipto era invencible,Que su padre los había engañado,A,Su culpa por lo ocurrido con José,Los hermanos relacionaron su situación con la culpa por el trato dado anteriormente a José.,Revisar,No,No
QB0076,AT,Génesis,Génesis 45:5,Intermedio,¿Qué pidió José a sus hermanos después de revelar su identidad?,Que no se afligieran por haberlo vendido,Que regresaran sin hablar con su padre,Que abandonaran Egipto,Que ocultaran lo ocurrido,A,Que no se afligieran por haberlo vendido,José interpretó su llegada a Egipto dentro de un propósito de preservación y pidió a sus hermanos no quedar paralizados por la culpa.,Revisar,No,No
QB0077,AT,Génesis,Génesis 48:5,Avanzado,¿Qué hijos de José adoptó Jacob como propios?,Efraín y Manasés,Judá y Benjamín,Dan y Gad,Rubén y Simeón,A,Efraín y Manasés,Jacob incorporó a Efraín y Manasés dentro de su descendencia con un estatus especial.,Revisar,No,No
QB0078,AT,Génesis,Génesis 50:24,Intermedio,¿Qué esperanza expresó José antes de morir?,Que Dios visitaría a su pueblo y lo llevaría a la tierra prometida,Que Egipto dominaría para siempre,Que sus hermanos volverían a Canaán de inmediato,Que su familia se dispersaría,A,Que Dios visitaría a su pueblo y lo llevaría a la tierra prometida,José mantuvo la esperanza en el cumplimiento de la promesa hecha a los antepasados.,Revisar,No,No
QB0079,AT,Génesis,Génesis 2:18,Intermedio,¿Qué valoración se hace de la soledad del hombre?,Que no era buena,Que era necesaria,Que era permanente,Que era una señal de poder,A,Que no era buena,El relato introduce la necesidad de una compañía adecuada para el ser humano.,Revisar,No,No
QB0080,AT,Génesis,Génesis 3:9,Intermedio,¿Qué pregunta dirigió Dios al hombre después de que este se escondiera?,¿Dónde estás?,¿Qué has construido?,¿Quién es tu hermano?,¿Por qué saliste del jardín?,A,¿Dónde estás?,La pregunta abre el diálogo después de que el hombre se ocultara.,Revisar,No,No
QB0081,AT,Génesis,Génesis 4:9,Intermedio,¿Qué pregunta recibió Caín después de la muerte de Abel?,¿Dónde está tu hermano?,¿Por qué estás triste?,¿Qué has sembrado?,¿Dónde vive tu padre?,A,¿Dónde está tu hermano?,La pregunta confronta a Caín con su responsabilidad respecto de Abel.,Revisar,No,No
QB0082,AT,Génesis,Génesis 6:9,Intermedio,¿Cómo se describe a Noé dentro de su generación?,Como un hombre justo,Como un rey poderoso,Como un guerrero,Como un sacerdote egipcio,A,Como un hombre justo,Noé es presentado como una persona justa dentro de su generación.,Revisar,No,No
QB0083,AT,Génesis,Génesis 9:6,Avanzado,¿Qué fundamento se menciona al hablar del valor de la vida humana?,Que el ser humano fue hecho a imagen de Dios,Que el ser humano domina la tierra,Que la vida pertenece al rey,Que la fuerza determina el valor,A,Que el ser humano fue hecho a imagen de Dios,El pasaje vincula el valor de la vida humana con haber sido creado a imagen de Dios.,Revisar,No,No
QB0084,AT,Génesis,Génesis 12:2,Intermedio,¿Qué propósito acompaña la promesa de hacer de Abraham una gran nación?,Que sea una bendición,Que se convierta en rey,Que construya una ciudad,Que conquiste Egipto,A,Que sea una bendición,La promesa incluye que Abraham sea una fuente de bendición para otros.,Revisar,No,No
QB0085,AT,Génesis,Génesis 14:20,Avanzado,¿Qué entregó Abraham a Melquisedec después de la bendición?,La décima parte de todo,La mitad de sus bienes,Una ofrenda de animales solamente,Una ciudad,A,La décima parte de todo,Abraham dio a Melquisedec una décima parte de los bienes obtenidos.,Revisar,No,No
QB0086,AT,Génesis,Génesis 17:10,Avanzado,¿Qué señal corporal acompañó el pacto con Abraham?,La circuncisión,El ayuno,El uso de vestiduras especiales,La marca en la frente,A,La circuncisión,La circuncisión fue establecida como señal del pacto para los varones del grupo de Abraham.,Revisar,No,No
QB0087,AT,Génesis,Génesis 18:23-24,Avanzado,¿Qué preocupación expresó Abraham al interceder por Sodoma?,La posibilidad de que perecieran justos junto con culpables,La pérdida de sus bienes,La falta de agua,La ausencia de soldados,A,La posibilidad de que perecieran justos junto con culpables,Abraham apeló a la justicia al preguntar por el destino de los justos dentro de la ciudad.,Revisar,No,No
QB0088,AT,Génesis,Génesis 21:12,Avanzado,¿A través de quién se afirmó que continuaría la descendencia vinculada a la promesa?,Isaac,Ismael,Lot,Esaú,A,Isaac,La línea principal de la promesa se relaciona en el relato con Isaac.,Revisar,No,No
QB0089,AT,Génesis,Génesis 22:17,Avanzado,¿Qué imagen se usa para expresar la multiplicación de la descendencia de Abraham?,Las estrellas del cielo y la arena del mar,Los árboles del bosque y los peces,Las nubes y la lluvia,Las montañas y los ríos,A,Las estrellas del cielo y la arena del mar,La promesa utiliza imágenes de gran cantidad para expresar la futura descendencia.,Revisar,No,No
QB0090,AT,Génesis,Génesis 24:27,Avanzado,¿Qué reconoció el siervo de Abraham después de encontrar a Rebeca?,Que Dios había guiado su camino,Que había tenido suerte,Que debía volver sin ella,Que Labán era enemigo de Abraham,A,Que Dios había guiado su camino,El siervo interpretó el encuentro como una guía providencial en su misión.,Revisar,No,No
QB0091,AT,Génesis,Génesis 26:24,Intermedio,¿Qué mensaje recibió Isaac en Beerseba?,Que no temiera porque Dios estaba con él,Que abandonara la región,Que se preparara para la guerra,Que regresara a Egipto,A,Que no temiera porque Dios estaba con él,El mensaje reafirmó a Isaac la presencia y la promesa recibida por su familia.,Revisar,No,No
QB0092,AT,Génesis,Génesis 28:15,Avanzado,¿Qué promesa recibió Jacob durante el sueño de Betel?,Que Dios estaría con él y lo guardaría,Que sería faraón de Egipto,Que nunca dejaría Canaán,Que no tendría descendencia,A,Que Dios estaría con él y lo guardaría,La promesa a Jacob incluye acompañamiento y protección durante su camino.,Revisar,No,No
QB0093,AT,Génesis,Génesis 31:3,Intermedio,¿Qué instrucción recibió Jacob antes de dejar la casa de Labán?,Volver a la tierra de sus padres,Ir a Egipto,Construir una ciudad,Quedarse para siempre con Labán,A,Volver a la tierra de sus padres,Jacob recibió la indicación de regresar a su tierra de origen.,Revisar,No,No
QB0094,AT,Génesis,Génesis 35:1,Intermedio,¿A qué lugar se indicó a Jacob que fuera para construir un altar?,Betel,Siquem,Hebrón,Jericó,A,Betel,Jacob recibió la orden de subir a Betel y construir allí un altar.,Revisar,No,No
QB0095,AT,Génesis,Génesis 37:20,Avanzado,¿Qué plan propusieron algunos hermanos de José al verlo acercarse?,Matarlo y ocultar lo ocurrido,Recibirlo con una fiesta,Enviarlo de regreso a casa,Entregarle regalos,A,Matarlo y ocultar lo ocurrido,El relato muestra la gravedad del resentimiento de los hermanos hacia José.,Revisar,No,No
QB0096,AT,Génesis,Génesis 39:9,Avanzado,¿Qué razón moral dio José para rechazar la propuesta de la esposa de su amo?,Que sería pecar contra Dios,Que perdería su trabajo,Que temía al faraón,Que no quería abandonar Egipto,A,Que sería pecar contra Dios,José enmarcó su negativa como una cuestión de fidelidad moral ante Dios.,Revisar,No,No
QB0097,AT,Génesis,Génesis 41:16,Avanzado,¿Cómo respondió José cuando el faraón le atribuyó capacidad para interpretar sueños?,Dijo que Dios daría la respuesta,Dijo que había estudiado magia,Dijo que los sacerdotes lo habían enseñado,Dijo que no podía ayudar,A,Dijo que Dios daría la respuesta,José desvió el mérito personal y atribuyó a Dios la capacidad para responder al faraón.,Revisar,No,No
QB0098,AT,Génesis,Génesis 42:38,Intermedio,¿Qué temor expresó Jacob respecto de Benjamín?,Que pudiera sufrir algún daño durante el viaje,Que quisiera quedarse en Egipto,Que se volviera soldado,Que abandonara a la familia,A,Que pudiera sufrir algún daño durante el viaje,Jacob mostró especial preocupación por la seguridad de Benjamín.,Revisar,No,No
