ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0824,NT,Lucas,Lucas 18:35-43,Avanzado,¿A qué ciudad se acercaba Jesús cuando un hombre ciego comenzó a llamarlo desde el camino?,Belén,Nazaret,Jericó,Betania,C,Jericó,Lucas sitúa este encuentro cuando Jesús se aproximaba a Jericó.,Revisar,No,No
QB0825,NT,Lucas,Lucas 19:1-10,Basico,¿A qué tipo de árbol subió Zaqueo para poder ver a Jesús?,Una higuera,Un olivo,Una palmera,Un sicómoro,D,Un sicómoro,Zaqueo subió a un sicómoro para superar la dificultad de ver a Jesús entre la multitud.,Revisar,No,No
QB0826,NT,Lucas,Lucas 19:11-27,Experto,¿A cuántos siervos llamó el hombre noble antes de partir a recibir un reino?,Diez,Cinco,Siete,Doce,A,Diez,El hombre noble llamó a diez siervos antes de emprender su viaje.,Revisar,No,No
QB0827,NT,Lucas,Lucas 19:28-40,Avanzado,¿Qué animal debían encontrar los discípulos para la entrada de Jesús en Jerusalén?,Un caballo de guerra,Un pollino que nadie había montado,Una oveja marcada,Un camello cargado,B,Un pollino que nadie había montado,Los discípulos debían hallar un pollino que todavía no había sido montado.,Revisar,No,No
QB0828,NT,Lucas,Lucas 20:1-8,Avanzado,¿Sobre qué tema preguntó Jesús a quienes cuestionaban su autoridad antes de responderles?,La reconstrucción del templo,El censo de César,El bautismo de Juan,La pesca en Galilea,C,El bautismo de Juan,Jesús respondió al desafío sobre su autoridad preguntando por el origen del bautismo de Juan.,Revisar,No,No
QB0829,NT,Lucas,Lucas 20:20-26,Avanzado,¿De quién era la imagen y la inscripción de la moneda mostrada a Jesús?,De Herodes,De Moisés,Del sumo sacerdote,De César,D,De César,Quienes mostraron la moneda reconocieron que la imagen y la inscripción correspondían a César.,Revisar,No,No
QB0830,NT,Lucas,Lucas 21:1-4,Intermedio,¿Cuántas monedas de muy poco valor depositó la viuda observada por Jesús?,Dos,Una,Tres,Cinco,A,Dos,Lucas especifica que la viuda depositó dos monedas de muy poco valor.,Revisar,No,No
QB0831,NT,Lucas,Lucas 21:29-33,Avanzado,¿Qué árbol menciona primero Jesús al enseñar a reconocer la cercanía de una estación?,El olivo,La higuera,La vid,La palmera,B,La higuera,Jesús menciona la higuera junto con los demás árboles como ejemplo para reconocer el cambio de estación.,Revisar,No,No
QB0832,NT,Lucas,Lucas 22:7-13,Experto,¿Qué señal debían seguir los discípulos para encontrar la casa donde prepararían la Pascua?,Una mujer con una cesta de pan,Un sacerdote con una lámpara,Un hombre que llevaba un cántaro de agua,Un niño que llevaba una rama,C,Un hombre que llevaba un cántaro de agua,Jesús indicó que encontrarían a un hombre con un recipiente de agua y debían seguirlo hasta la casa.,Revisar,No,No
QB0833,NT,Lucas,Lucas 23:26,Avanzado,¿Qué hombre fue obligado a llevar la cruz detrás de Jesús según Lucas 23:26?,José de Arimatea,Bartimeo,Jairo,Simón de Cirene,D,Simón de Cirene,Lucas identifica a Simón de Cirene como el hombre obligado a llevar la cruz detrás de Jesús.,Revisar,No,No
QB0834,NT,Lucas,Lucas 24:13-35,Basico,¿Cómo se llamaba la aldea hacia la que caminaban dos discípulos después de los acontecimientos en Jerusalén?,Emaús,Betania,Naín,Capernaúm,A,Emaús,Dos discípulos caminaban hacia una aldea llamada Emaús cuando se desarrolla este episodio.,Revisar,No,No
QB0835,NT,Lucas,Lucas 24:36-43,Intermedio,¿Qué alimento comió Jesús delante de los discípulos para mostrar que no era un espíritu?,Pan y vino,Un trozo de pescado asado,Frutos secos,Miel con pan,B,Un trozo de pescado asado,Lucas describe a Jesús comiendo un trozo de pescado ante los discípulos.,Revisar,No,No
QB0836,NT,Juan,Juan 1:19-28,Basico,¿Quiénes enviaron sacerdotes y levitas para preguntar a Juan quién era?,Los romanos,Los samaritanos,Los judíos de Jerusalén,Los galileos,C,Los judíos de Jerusalén,Juan 1 sitúa el interrogatorio a Juan por enviados procedentes de Jerusalén.,Revisar,No,No
QB0837,NT,Juan,Juan 1:35-42,Basico,¿Qué discípulo llevó a su hermano Simón hasta Jesús?,Felipe,Natanael,Juan,Andrés,D,Andrés,Andrés encontró a su hermano Simón y lo llevó hasta Jesús.,Revisar,No,No
QB0838,NT,Juan,Juan 1:43-51,Intermedio,¿Quién invitó a Natanael a conocer a Jesús?,Felipe,Andrés,Pedro,Tomás,A,Felipe,Felipe encontró a Natanael y lo invitó a acercarse a Jesús.,Revisar,No,No
QB0839,NT,Juan,Juan 2:1-11,Basico,¿En qué localidad se realizó la boda donde Jesús transformó agua en vino?,Betania,Caná,Nazaret,Capernaúm,B,Caná,Juan identifica la localidad de Caná de Galilea como escenario de la boda.,Revisar,No,No
QB0840,NT,Juan,Juan 2:13-22,Avanzado,¿Qué señaló Jesús como el verdadero referente del templo cuando habló de levantarlo en tres días?,El templo reconstruido por Herodes,La ciudad de Jerusalén,Su propio cuerpo,La comunidad de sacerdotes,C,Su propio cuerpo,El evangelista explica que Jesús hablaba del templo de su cuerpo.,Revisar,No,No
QB0841,NT,Juan,Juan 3:1-8,Basico,¿A qué grupo pertenecía Nicodemo?,Saduceos,Samaritanos,Esenios,Fariseos,D,Fariseos,Juan identifica a Nicodemo como fariseo y dirigente de los judíos.,Revisar,No,No
QB0842,NT,Juan,Juan 3:22-30,Intermedio,¿Qué dijo Juan el Bautista acerca de la relación entre el crecimiento de Jesús y el suyo?,Que Jesús debía crecer y él disminuir,Que ambos debían crecer de la misma manera,Que él debía aumentar primero,Que Jesús debía marcharse de Judea,A,Que Jesús debía crecer y él disminuir,Juan expresó que el protagonismo de Jesús debía aumentar mientras el suyo disminuía.,Revisar,No,No
QB0843,NT,Juan,Juan 4:7-15,Basico,¿Qué pidió Jesús a la mujer samaritana al comenzar la conversación?,Un lugar donde dormir,Agua para beber,Información sobre Jerusalén,Un alimento para sus discípulos,B,Agua para beber,La conversación comienza con una petición sencilla de agua.,Revisar,No,No
QB0844,NT,Juan,Juan 4:46-54,Intermedio,¿Qué parentesco tenía la persona enferma por la que un funcionario pidió ayuda a Jesús?,Era su hermano,Era su esposa,Era su hijo,Era su padre,C,Era su hijo,El funcionario pidió ayuda por su hijo que estaba enfermo en Capernaúm.,Revisar,No,No
QB0845,NT,Juan,Juan 5:1-9,Experto,¿Cuánto tiempo llevaba enfermo el hombre sanado junto a la piscina?,Doce años,Veinte años,Veinticinco años,Treinta y ocho años,D,Treinta y ocho años,Juan indica que el hombre llevaba treinta y ocho años con su enfermedad.,Revisar,No,No
QB0846,NT,Juan,Juan 5:19-24,Avanzado,¿Qué relación presenta Jesús entre escuchar su palabra y creer en quien lo envió?,Conduce a la vida,Conduce únicamente al conocimiento de la Ley,Da acceso a riquezas materiales,Evita toda enfermedad,A,Conduce a la vida,Jesús relaciona escuchar su palabra y creer en quien lo envió con la posesión de vida.,Revisar,No,No
QB0847,NT,Juan,Juan 6:1-13,Basico,¿Qué discípulo mencionó al niño que tenía panes y peces?,Felipe,Andrés,Pedro,Tomás,B,Andrés informó a Jesús acerca del niño que tenía cinco panes y dos peces.,Revisar,No,No
QB0848,NT,Juan,Juan 6:16-21,Intermedio,¿Qué vieron los discípulos mientras navegaban en el lago durante la noche?,Una tormenta acercándose desde la costa,Un barco romano,Jesús caminando sobre el agua,Un grupo de pescadores,C,Jesús caminando sobre el agua,Juan relata que los discípulos vieron a Jesús caminar sobre el lago.,Revisar,No,No
QB0849,NT,Juan,Juan 6:60-69,Basico,¿Qué discípulo respondió que Jesús tenía palabras de vida cuando muchos dejaron de seguirlo?,Felipe,Andrés,Tomás,Simón Pedro,D,Simón Pedro,Simón Pedro respondió en nombre del grupo cuando Jesús preguntó si también querían marcharse.,Revisar,No,No
QB0850,NT,Juan,Juan 7:14-18,Intermedio,¿Dónde comenzó Jesús a enseñar cuando la fiesta ya estaba avanzada?,En el templo,En una casa de Betania,Junto al Jordán,En la sinagoga de Nazaret,A,En el templo,Juan señala que Jesús subió al templo y comenzó a enseñar durante la fiesta.,Revisar,No,No
QB0851,NT,Juan,Juan 7:37-39,Avanzado,¿A qué realidad relaciona el evangelista los ríos de agua viva mencionados por Jesús?,Al bautismo de Juan,Al Espíritu,Al río Jordán,A la lluvia de Galilea,B,Al Espíritu,El evangelista explica que Jesús hablaba del Espíritu que recibirían quienes creyeran.,Revisar,No,No
QB0852,NT,Juan,Juan 8:1-11,Basico,¿Qué escribió Jesús con el dedo mientras los acusadores insistían en preguntar?,Un mandamiento en una tabla,El nombre de cada acusador,Algo en el suelo,Una carta para los sacerdotes,C,Algo en el suelo,Juan describe a Jesús inclinándose y escribiendo con el dedo en el suelo.,Revisar,No,No
QB0853,NT,Juan,Juan 8:12-20,Intermedio,¿Qué imagen utilizó Jesús para describirse durante su enseñanza?,La puerta del templo,La vid verdadera,El pan del cielo,La luz del mundo,D,La luz del mundo,Jesús se presentó como la luz del mundo en esta sección del evangelio.,Revisar,No,No
QB0854,NT,Juan,Juan 9:1-7,Basico,¿Qué condición tenía el hombre encontrado por Jesús al comienzo de Juan 9?,Era ciego de nacimiento,Era paralítico desde joven,Era sordo desde niño,Tenía una mano inmóvil,A,Era ciego de nacimiento,Juan presenta al hombre como ciego de nacimiento.,Revisar,No,No
QB0855,NT,Juan,Juan 9:6-7,Avanzado,¿A qué piscina envió Jesús al hombre después de aplicar barro sobre sus ojos?,Betesda,Siloé,Gabaón,En-rogel,B,Siloé,Jesús le indicó que fuera a lavarse a la piscina de Siloé.,Revisar,No,No
QB0856,NT,Juan,Juan 10:1-10,Intermedio,¿Qué imagen utilizó Jesús para diferenciar su acceso al rebaño de quienes entran indebidamente?,El camino,La semilla,La puerta,La lámpara,C,La puerta,Jesús utilizó la imagen de la puerta en su enseñanza sobre el rebaño.,Revisar,No,No
QB0857,NT,Juan,Juan 10:11-18,Basico,¿Qué figura pastoral utilizó Jesús para describir su relación con las ovejas?,El trabajador del campo,El dueño del viñedo,El guardia del templo,El buen pastor,D,El buen pastor,Jesús se presentó como el buen pastor en esta sección.,Revisar,No,No
QB0858,NT,Juan,Juan 10:22-30,Avanzado,¿Qué fiesta se celebraba en Jerusalén cuando Jesús caminaba por el templo?,La Dedicación,La Pascua,Pentecostés,Los Panes sin levadura,A,La Dedicación,Juan sitúa esta conversación durante la fiesta de la Dedicación en Jerusalén.,Revisar,No,No
QB0859,NT,Juan,Juan 11:1-6,Basico,¿Cómo se llamaban las dos hermanas de Lázaro?,María y Salomé,Marta y María,Juana y Susana,Priscila y Lidia,B,Marta y María,Juan identifica a Marta y María como hermanas de Lázaro.,Revisar,No,No
QB0860,NT,Juan,Juan 11:17-27,Intermedio,¿Cuántos días llevaba Lázaro en el sepulcro cuando Jesús llegó?,Dos,Tres,Cuatro,Siete,C,Cuatro,Juan señala que Lázaro llevaba cuatro días en el sepulcro cuando Jesús llegó.,Revisar,No,No
QB0861,NT,Juan,Juan 11:45-53,Avanzado,¿Qué sumo sacerdote habló durante la reunión que siguió a las noticias sobre Lázaro?,Anás,Zacarías,Gamaliel,Caifás,D,Caifás,Caifás intervino como sumo sacerdote en la deliberación de los dirigentes.,Revisar,No,No
QB0862,NT,Juan,Juan 12:1-8,Basico,¿Quién ungió los pies de Jesús con perfume en Betania?,María,Marta,María Magdalena,Juana,A,María,Juan identifica a María como quien ungió los pies de Jesús y los secó con su cabello.,Revisar,No,No
QB0863,NT,Juan,Juan 12:12-16,Basico,¿Qué ramas tomó la multitud al salir al encuentro de Jesús?,Ramas de olivo,Ramas de palmera,Ramas de higuera,Ramas de vid,B,Ramas de palmera,Juan menciona que la multitud tomó ramas de palmera al salir a recibir a Jesús.,Revisar,No,No
QB0864,NT,Juan,Juan 12:20-26,Intermedio,¿Qué grupo buscó a Felipe porque quería ver a Jesús durante la fiesta?,Romanos,Samaritanos,Griegos,Egipcios,C,Griegos,Juan menciona a unos griegos que se acercaron a Felipe con el deseo de ver a Jesús.,Revisar,No,No
QB0865,NT,Juan,Juan 12:37-41,Avanzado,¿Qué profeta cita Juan al explicar la incredulidad de parte del pueblo?,Jeremías,Ezequiel,Daniel,Isaías,D,Isaías,Juan cita al profeta Isaías en su explicación sobre la respuesta de incredulidad.,Revisar,No,No
QB0866,NT,Juan,Juan 13:1-10,Basico,¿Qué parte del cuerpo de los discípulos lavó Jesús durante la cena?,Los pies,Las manos,La cabeza,El rostro,A,Los pies,Juan relata que Jesús lavó los pies de sus discípulos durante la cena.,Revisar,No,No
QB0867,NT,Juan,Juan 13:21-30,Intermedio,¿A quién entregó Jesús el bocado después de indicar de ese modo quién lo traicionaría?,Judas Iscariote,Simón Pedro,Tomás,Felipe,A,Judas Iscariote,Jesús dio el bocado a Judas Iscariote después de señalar así al que lo traicionaría.,Revisar,No,No
QB0868,NT,Juan,Juan 13:36-38,Basico,¿Cuántas veces dijo Jesús que Pedro lo negaría antes de que cantara el gallo?,Una vez,Tres veces,Dos veces,Cuatro veces,B,Tres veces,Jesús anticipó que Pedro lo negaría tres veces antes del canto del gallo.,Revisar,No,No
QB0869,NT,Juan,Juan 14:1-7,Intermedio,¿Qué discípulo dijo que no sabía adónde iba Jesús y preguntó cómo conocer el camino?,Andrés,Felipe,Tomás,Judas Iscariote,C,Tomás,Tomás planteó esa pregunta durante la conversación de Jesús con sus discípulos.,Revisar,No,No
QB0870,NT,Juan,Juan 14:8-11,Basico,¿Qué discípulo pidió a Jesús que les mostrara al Padre?,Tomás,Pedro,Andrés,Felipe,D,Felipe,Felipe pidió a Jesús que les mostrara al Padre.,Revisar,No,No
QB0871,NT,Juan,Juan 14:25-27,Avanzado,¿Qué dos funciones atribuyó Jesús al Espíritu Santo respecto de sus discípulos?,Enseñarles y recordarles lo que Jesús había dicho,Darles riquezas y autoridad política,Reemplazar a todos los maestros humanos,Evitarles toda dificultad futura,A,Enseñarles y recordarles lo que Jesús había dicho,Jesús explicó que el Espíritu Santo les enseñaría y les haría recordar lo que él había comunicado.,Revisar,No,No
QB0872,NT,Juan,Juan 15:1-8,Basico,¿Qué planta usó Jesús como imagen al presentarse como la fuente de fruto para sus discípulos?,La higuera,La vid,El olivo,La palmera,B,La vid,Jesús se presentó como la vid y describió a sus discípulos como ramas que dependen de ella.,Revisar,No,No
QB0873,NT,Juan,Juan 15:12-17,Intermedio,¿Qué trato dijo Jesús que daba a sus discípulos en lugar de llamarlos siervos?,Los llamaba jueces,Los llamaba sacerdotes,Los llamaba amigos,Los llamaba gobernantes,C,Los llamaba amigos,Jesús dijo que llamaba amigos a sus discípulos porque les había dado a conocer lo recibido del Padre.,Revisar,No,No
QB0874,NT,Juan,Juan 16:5-11,Avanzado,¿Qué dijo Jesús que ocurriría si él se marchaba respecto del Consolador?,El Consolador permanecería solo en Jerusalén,El Consolador llegaría antes de su partida,Los discípulos tendrían que buscarlo,Lo enviaría a sus discípulos,D,Lo enviaría a sus discípulos,Jesús explicó que su partida daría paso al envío del Consolador a sus discípulos.,Revisar,No,No
QB0875,NT,Juan,Juan 16:29-33,Intermedio,¿Qué dijo Jesús que harían sus discípulos cuando llegara la hora de la prueba?,Se dispersarían y lo dejarían solo,Viajarían juntos a Galilea,Se quedarían todos en el templo,Irían a buscar a Juan el Bautista,A,Se dispersarían y lo dejarían solo,Jesús anticipó que los discípulos se dispersarían y lo dejarían solo.,Revisar,No,No
QB0876,NT,Juan,Juan 17:1-5,Intermedio,¿Hacia dónde dirigió Jesús la mirada al comenzar la oración de Juan 17?,Hacia el templo,Hacia el cielo,Hacia el monte de los Olivos,Hacia el Jordán,B,Hacia el cielo,Juan señala que Jesús alzó la mirada al cielo antes de comenzar su oración.,Revisar,No,No
QB0877,NT,Juan,Juan 17:20-23,Avanzado,¿Por quiénes oró Jesús además de los discípulos que estaban con él?,Solo por los sacerdotes de Jerusalén,Por los gobernantes romanos,Por quienes llegarían a creer mediante el mensaje de ellos,Únicamente por su familia,C,Por quienes llegarían a creer mediante el mensaje de ellos,Jesús extendió su oración a quienes llegarían a creer por medio del mensaje de sus discípulos.,Revisar,No,No
QB0878,NT,Juan,Juan 18:1-11,Intermedio,¿Qué discípulo reaccionó durante el arresto golpeando al siervo del sumo sacerdote?,Tomás,Felipe,Andrés,Simón Pedro,D,Simón Pedro,Juan identifica a Simón Pedro como el discípulo que reaccionó contra el siervo del sumo sacerdote.,Revisar,No,No
QB0879,NT,Juan,Juan 18:28-38,Avanzado,¿Qué conclusión expresó Pilato sobre las acusaciones después de interrogar a Jesús?,Que no encontraba delito en él,Que debía enviarlo a Herodes,Que era un ciudadano romano,Que debía ser liberado por el consejo,A,Que no encontraba delito en él,"Después de interrogar a Jesús, Pilato declaró que no encontraba delito en él.",Revisar,No,No
QB0880,NT,Juan,Juan 19:17-22,Intermedio,¿Qué título real aparecía en la inscripción colocada por orden de Pilato?,Rey de Galilea,Rey de los judíos,Príncipe de Nazaret,Maestro de Israel,B,Rey de los judíos,La inscripción ordenada por Pilato identificaba a Jesús con el título de Rey de los judíos.,Revisar,No,No
QB0881,NT,Juan,Juan 19:25-27,Intermedio,¿A quién confió Jesús el cuidado de su madre en el relato de Juan?,A Nicodemo,A José de Arimatea,Al discípulo a quien amaba,A Tomás,C,Al discípulo a quien amaba,Juan relata que Jesús confió a su madre al discípulo a quien amaba.,Revisar,No,No
QB0882,NT,Juan,Juan 19:38-42,Experto,¿Quién acompañó a José de Arimatea llevando una mezcla de mirra y áloe para la sepultura?,Felipe,Andrés,Bartolomé,Nicodemo,D,Nicodemo,Nicodemo acompañó a José de Arimatea y llevó una mezcla aromática para la sepultura.,Revisar,No,No
QB0883,NT,Juan,Juan 20:1-10,Basico,¿Quién llegó al sepulcro cuando aún estaba oscuro y vio que la piedra había sido retirada?,María Magdalena,Marta,María de Betania,Salomé,A,María Magdalena,"Juan presenta a María Magdalena llegando al sepulcro temprano, cuando aún estaba oscuro.",Revisar,No,No
QB0884,NT,Juan,Juan 20:19-25,Intermedio,¿Qué discípulo no estaba con los demás cuando Jesús se presentó por primera vez al grupo?,Felipe,Tomás,Andrés,Natanael,B,Tomás,Tomás no estaba con los otros discípulos durante esa primera aparición de Jesús al grupo.,Revisar,No,No
QB0885,NT,Juan,Juan 20:30-31,Avanzado,¿Con qué propósito dice Juan que seleccionó y escribió las señales de Jesús?,Para registrar todas las señales sin excepción,Para explicar la historia política de Judea,Para que los lectores crean quién es Jesús y tengan vida por esa fe,Para reemplazar los escritos de Moisés,C,Para que los lectores crean quién es Jesús y tengan vida por esa fe,Juan declara que escribió esas señales para conducir a la fe en Jesús y a la vida vinculada con esa fe.,Revisar,No,No
QB0886,NT,Juan,Juan 21:1-11,Experto,¿Cuántos peces grandes contó la red cuando los discípulos la llevaron a tierra?,Ciento veinte,Ciento cuarenta y cuatro,Doscientos,Ciento cincuenta y tres,D,Ciento cincuenta y tres,Juan registra que la red contenía ciento cincuenta y tres peces grandes.,Revisar,No,No
QB0887,NT,Juan,Juan 21:15-17,Intermedio,¿Cuántas veces preguntó Jesús a Pedro si lo amaba durante la conversación junto al lago?,Tres veces,Una vez,Dos veces,Cuatro veces,A,Tres veces,"En la conversación final con Pedro, Jesús repitió tres veces la pregunta sobre su amor.",Revisar,No,No
QB0888,NT,Hechos,Hechos 1:23-26,Intermedio,¿Quién fue incorporado al grupo de los once apóstoles para ocupar el lugar dejado por Judas?,Matías,José llamado Barsabás,Esteban,Felipe,A,Matías,Matías fue elegido entre los candidatos y quedó contado con los once apóstoles.,Revisar,No,No
QB0889,NT,Hechos,Hechos 1:12-14,Intermedio,¿Qué mujer es mencionada por nombre entre quienes perseveraban en oración con los discípulos?,Marta de Betania,María Magdalena,"María, la madre de Jesús",Priscila,C,"María, la madre de Jesús","María, la madre de Jesús, es mencionada entre quienes permanecían unidos en oración.",Revisar,No,No
QB0890,NT,Hechos,Hechos 2:1-4,Basico,¿Qué celebración estaba transcurriendo cuando los discípulos fueron llenos del Espíritu Santo?,La Pascua,La Dedicación,Los Tabernáculos,Pentecostés,D,Pentecostés,"El episodio ocurre durante Pentecostés, cuando los discípulos estaban reunidos.",Revisar,No,No
QB0891,NT,Hechos,Hechos 2:14-21,Intermedio,¿Qué profeta citó Pedro para explicar lo que estaba ocurriendo en Pentecostés?,Isaías,Joel,Jeremías,Ezequiel,B,Joel,Pedro explicó lo ocurrido en Pentecostés citando al profeta Joel.,Revisar,No,No
QB0892,NT,Hechos,Hechos 3:1-10,Avanzado,¿Cómo se llamaba la puerta del templo donde solían colocar al hombre que pedía limosna?,Hermosa,Oriental,Dorada,De las Ovejas,A,Hermosa,El hombre era colocado junto a la puerta del templo llamada Hermosa.,Revisar,No,No
